entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct,margin_required_inr,margin_pct_of_capital
2023-05-29,2023-05-30,2023-05-30,19532.7,19900,19150,20050,19000,1.08,2.35,0.77,1.84,0.0,0.0,0.0,0.0,0.83,0.0,0.83,40,5,165.8,149.171,29834.2,EXPIRY,2023-05,2023,165.8,200165.8,0.0829,200165.8,0.0,265018.0,132.5
2023-06-12,2023-06-27,2023-06-27,19399.8,19800,19000,19950,18850,523.56,39.3,243.37,159.83,0.0,0.0,0.0,0.0,159.66,0.0,159.66,40,5,31931.4,-9.656999999999924,-1931.399999999985,EXPIRY,2023-06,2023,32097.2,232097.2,16.0486,232097.2,0.0,183200.0,91.6
2023-07-03,2023-07-25,2023-07-25,20253.8,20650,19850,20800,19700,183.85,429.14,349.55,80.63,0.0,0.0,0.0,0.0,182.81,0.0,182.81,40,5,36561.0,-32.805000000000064,-6561.000000000013,EXPIRY,2023-07,2023,68658.2,268658.2,34.329100000000004,268658.2,0.0,189364.0,94.7
2023-08-14,2023-08-29,2023-08-29,19652.5,20050,19250,20200,19100,68.6,89.62,36.11,107.2,0.0,0.0,0.0,0.0,14.91,0.0,14.91,40,5,2982.2,135.089,27017.8,EXPIRY,2023-08,2023,71640.4,271640.4,35.8202,271640.4,0.0,238578.0,119.3
2023-09-04,2023-09-26,2023-09-26,19787.6,20200,19400,20350,19250,789.24,490.64,254.75,177.17,0.0,0.0,0.0,0.0,847.96,0.0,847.96,40,5,169592.2,-697.9610000000001,-139592.20000000004,EXPIRY,2023-09,2023,241232.6,441232.6,120.6163,441232.6,0.0,182896.0,91.4
2023-10-16,2023-10-31,2023-10-31,19814.5,20200,19400,20350,19250,1233.43,57.33,251.48,202.72,0.0,195.4,0.0,45.4,836.55,153.0,683.55,40,5,136710.4,-686.5519999999998,-137310.39999999997,EXPIRY,2023-10,2023,377943.0,577943.0,188.9715,577943.0,0.0,178440.0,89.2
2023-11-06,2023-11-13,2023-11-28,19537.6,19950,19150,20100,19000,149.89,315.95,58.85,322.63,53.3,322.4,57.7,50.0,84.36,273.36,-189.0,40,5,-37799.4,65.63700000000006,13127.400000000012,SL,2023-11,2023,340143.6,540143.6,170.0718,577943.0,-6.540333562306322,189584.0,94.8
2023-12-11,2023-12-26,2023-12-26,21214.7,21650,20800,21800,20650,15.63,1103.92,75.48,969.56,0.0,0.0,0.0,0.0,74.51,0.0,74.51,40,5,14902.2,75.4889999999998,15097.79999999996,EXPIRY,2023-12,2023,355045.8,555045.8,177.5229,577943.0,-3.96184398807494,79652.0,39.8
2024-01-29,2024-01-30,2024-01-30,20413.3,20800,20000,20950,19850,4.7,5.88,1.43,2.5,0.0,0.0,0.0,0.0,6.66,0.0,6.66,40,5,1331.4,143.343,28668.6,EXPIRY,2024-01,2024,356377.2,556377.2,178.1886,577943.0,-3.7314752492892977,276654.0,138.3
2024-02-05,2024-02-27,2024-02-27,20315.8,20700,19900,20850,19750,224.42,618.62,241.18,171.82,0.0,0.0,0.0,0.0,430.05,0.0,430.05,40,5,86009.4,-280.047,-56009.4,EXPIRY,2024-02,2024,442386.6,642386.6,221.1933,642386.6,0.0,193480.0,96.7
